time_period,rmd_sector,stock_net_million_ron,flow_net_million_ron,construction
2018-Q1,C,-684907.4,-9376.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q1,F,18533.1,2352.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q1,G,-181709.3,-8698.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q1,BNR,-18431.0,267.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q1,X,445281.2,9874.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,H,425594.3,6039.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,C,-695619.5,-7980.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,F,18814.1,-2952.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,G,-178982.4,-4149.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,BNR,-18848.2,-59.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q2,X,449041.2,9102.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,H,431555.9,5068.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,C,-704014.6,-7737.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,F,18501.6,-1150.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,G,-188575.1,-5927.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,BNR,-17097.8,1072.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q3,X,459630.1,8674.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,H,384398.2,-71903.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,C,-650640.0,86406.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,F,19613.7,-2501.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,G,-187864.3,-9260.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,BNR,-19009.4,-797.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q4,X,453501.7,-1943.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,H,391734.5,7686.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,C,-665223.4,-1884.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,F,21994.5,534.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,G,-194690.7,-9445.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,BNR,-20091.0,280.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q1,X,466275.9,2829.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,H,400254.1,5049.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,C,-670946.7,-7991.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,F,19497.3,-1687.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,G,-210097.6,-8301.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,BNR,-21015.6,262.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q2,X,482308.4,12668.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,H,402871.8,301.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,C,-673308.4,4597.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,F,18916.2,-1768.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,G,-217106.8,-9373.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,BNR,-23117.0,122.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q3,X,491744.4,6120.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,H,538856.9,25254.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,C,-794977.0,-1918.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,F,17243.1,-2326.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,G,-232889.2,-19143.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,BNR,-23225.7,154.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2019-Q4,X,494992.2,-2021.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,H,551606.4,10085.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,C,-788584.6,-4320.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,F,25577.2,2243.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,G,-236331.5,-14702.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,BNR,-25300.2,332.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q1,X,473033.0,6361.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,H,565067.6,15729.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,C,-794228.9,-1928.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,F,27102.1,-1151.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,G,-265521.0,-23917.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,BNR,-26999.2,355.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q2,X,494579.0,10911.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2020-Q3,H,576458.5,9047.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
