measure,time_period,rmd_sector,assets_million_ron,liabilities_million_ron,net_million_ron
flow,2020-Q4,H,31244.1,6814.5,24429.6
flow,2020-Q4,C,44147.4,38583.1,5564.3
flow,2020-Q4,F,30158.1,31697.8,-1539.7
flow,2020-Q4,G,14301.5,53143.5,-38842.0
flow,2020-Q4,BNR,23223.4,22813.0,410.4
flow,2020-Q4,X,33925.2,23947.4,9977.8
flow,2021-Q1,H,13154.9,2308.2,10846.7
flow,2021-Q1,C,2885.6,12074.4,-9188.8
flow,2021-Q1,F,15388.4,15058.6,329.8
flow,2021-Q1,G,-4383.6,15818.3,-20201.9
flow,2021-Q1,BNR,-13109.1,-13535.5,426.4
flow,2021-Q1,X,10545.2,-7242.6,17787.8
flow,2021-Q2,H,10846.3,4918.5,5927.8
flow,2021-Q2,C,-1319.5,6502.5,-7822.0
flow,2021-Q2,F,20424.3,22121.8,-1697.5
flow,2021-Q2,G,-274.1,17355.1,-17629.2
flow,2021-Q2,BNR,5819.1,5595.2,223.9
flow,2021-Q2,X,22060.5,1063.5,20997.0
flow,2021-Q3,H,10226.0,5901.6,4324.4
flow,2021-Q3,C,15394.0,20072.1,-4678.1
flow,2021-Q3,F,22431.9,22342.0,89.9
flow,2021-Q3,G,21387.0,34315.8,-12928.8
flow,2021-Q3,BNR,11912.2,11724.1,188.1
flow,2021-Q3,X,34072.3,21067.8,13004.5
flow,2021-Q4,H,30576.6,6382.8,24193.8
flow,2021-Q4,C,108124.3,118344.9,-10220.6
flow,2021-Q4,F,51988.0,54632.0,-2644.0
flow,2021-Q4,G,-14371.8,20252.0,-34623.8
flow,2021-Q4,BNR,2277.1,2097.3,179.8
flow,2021-Q4,X,16355.4,-6759.0,23114.4
flow,2022-Q1,H,5948.1,4713.4,1234.7
flow,2022-Q1,C,23088.5,36533.5,-13445.0
flow,2022-Q1,F,11762.9,3930.4,7832.5
flow,2022-Q1,G,8108.1,35289.3,-27181.2
flow,2022-Q1,BNR,-1623.0,-1848.6,225.6
flow,2022-Q1,X,47418.2,16084.5,31333.7
flow,2022-Q2,H,12755.3,6507.0,6248.3
flow,2022-Q2,C,17015.8,39128.9,-22113.1
flow,2022-Q2,F,28790.2,32802.6,-4012.4
flow,2022-Q2,G,26762.8,34282.3,-7519.5
flow,2022-Q2,BNR,18807.2,18564,243.2
flow,2022-Q2,X,32807.7,5654.0,27153.7
flow,2022-Q3,H,16417.2,3423.0,12994.2
flow,2022-Q3,C,37273.1,44228.5,-6955.4
flow,2022-Q3,F,22186.9,19841.1,2345.8
flow,2022-Q3,G,4091.9,25637.7,-21545.8
flow,2022-Q3,BNR,-333.5,-109.9,-223.6
flow,2022-Q3,X,39938.5,26553.6,13384.9
flow,2022-Q4,H,38305.5,6048.6,32256.9
flow,2022-Q4,C,109619.1,133974.9,-24355.8
flow,2022-Q4,F,32010.6,31289.9,720.7
flow,2022-Q4,G,-2634.8,29709.1,-32343.9
flow,2022-Q4,BNR,7217.0,7094.2,122.8
flow,2022-Q4,X,21604.0,-1995.3,23599.3
flow,2023-Q1,H,19413.5,852.5,18561.0
flow,2023-Q1,C,29844.7,36676.8,-6832.1
flow,2023-Q1,F,18309.7,15706.9,2602.8
flow,2023-Q1,G,28252.4,57976.1,-29723.7
flow,2023-Q1,BNR,36635.4,36637.1,-1.7
flow,2023-Q1,X,51884.2,36490.4,15393.8
flow,2023-Q2,H,25095.5,3301.7,21793.8
flow,2023-Q2,C,8034.9,23362.1,-15327.2
flow,2023-Q2,F,35964.8,30215.1,5749.7
flow,2023-Q2,G,6304.8,26518.8,-20214.0
flow,2023-Q2,BNR,-1531.6,-1196.3,-335.3
flow,2023-Q2,X,20157.6,11824.4,8333.2
flow,2023-Q3,H,16684.8,3968.2,12716.6
flow,2023-Q3,C,21905.1,26727.4,-4822.3
flow,2023-Q3,F,20319.8,17915.3,2404.5
flow,2023-Q3,G,30812.3,54504.0,-23691.7
flow,2023-Q3,BNR,24987.6,25392.7,-405.1
flow,2023-Q3,X,50957.1,37159.0,13798.1
flow,2023-Q4,H,24787.3,7840.9,16946.4
flow,2023-Q4,C,48813.4,38430.7,10382.7
flow,2023-Q4,F,50637.9,53080.9,-2443.0
flow,2023-Q4,G,519.5,32045.5,-31526.0
flow,2023-Q4,BNR,3452.7,5332.1,-1879.4
flow,2023-Q4,X,23219.3,14700.2,8519.1
flow,2024-Q1,H,35263.3,4716.4,30546.9
flow,2024-Q1,C,28903.9,47177.9,-18274.0
flow,2024-Q1,F,30592.5,24773.0,5819.5
flow,2024-Q1,G,34761.9,74127.2,-39365.3
flow,2024-Q1,BNR,19617.6,19872.2,-254.6
flow,2024-Q1,X,58599.7,37072.0,21527.7
flow,2024-Q2,H,32407.8,7878.9,24528.9
flow,2024-Q2,C,24754.4,56732.2,-31977.8
flow,2024-Q2,F,30175.9,25092.6,5083.3
flow,2024-Q2,G,503.3,22204.3,-21701.0
flow,2024-Q2,BNR,331.0,323.2,7.8
flow,2024-Q2,X,25266.1,1207.2,24058.9
flow,2024-Q3,H,35704.8,8631.6,27073.2
flow,2024-Q3,C,39314.6,45545.2,-6230.6
flow,2024-Q3,F,21341.6,30011.4,-8669.8
flow,2024-Q3,G,17059.3,58904.8,-41845.5
flow,2024-Q3,BNR,6585.9,6193.3,392.6
flow,2024-Q3,X,35165.3,5885.1,29280.2
flow,2024-Q4,H,38695.0,13774.6,24920.4
flow,2024-Q4,C,35191.3,10418.7,24772.6
flow,2024-Q4,F,53127.2,55342.3,-2215.1
flow,2024-Q4,G,-13551.8,47037.8,-60589.6
flow,2024-Q4,BNR,-24940.9,-21978.5,-2962.4
flow,2024-Q4,X,6405.1,-9669.1,16074.2
flow,2025-Q1,H,27826.6,4704.4,23122.2
flow,2025-Q1,C,5031.5,23787.3,-18755.8
flow,2025-Q1,F,14561.2,6347.7,8213.5
flow,2025-Q1,G,5070.6,47646.1,-42575.5
flow,2025-Q1,BNR,748.8,528.8,220.0
flow,2025-Q1,X,34685.7,4910.1,29775.6
flow,2025-Q2,H,26931.3,8603.4,18327.9
flow,2025-Q2,C,-5066.1,21478.0,-26544.1
flow,2025-Q2,F,22704.6,17044.6,5660.0
flow,2025-Q2,G,22336.3,45636.9,-23300.6
flow,2025-Q2,BNR,-7538.2,-8368.9,830.7
flow,2025-Q2,X,31584.5,6558.4,25026.1
flow,2025-Q3,H,21944.6,7999.8,13944.8
flow,2025-Q3,C,12605.9,28589.3,-15983.4
flow,2025-Q3,F,25671.8,27934.6,-2262.8
flow,2025-Q3,G,29850.1,57956.0,-28105.9
flow,2025-Q3,BNR,33186.0,33059.2,126.8
flow,2025-Q3,X,54053.4,21772.7,32280.7
flow,2025-Q4,H,35637.4,2528.0,33109.4
flow,2025-Q4,C,27588.6,18453.7,9134.9
flow,2025-Q4,F,68653.6,64087.4,4566.2
flow,2025-Q4,G,-16388.3,39290.2,-55678.5
flow,2025-Q4,BNR,-3033.0,-1428.2,-1604.8
flow,2025-Q4,X,37047.3,26574.6,10472.7
flow,2026-Q1,H,25404.3,3901.7,21502.6
flow,2026-Q1,C,1181.9,30150.8,-28968.9
flow,2026-Q1,F,26766.9,18311.0,8455.9
flow,2026-Q1,G,21266.1,42875.8,-21609.7
flow,2026-Q1,BNR,7864.3,7017.5,846.8
flow,2026-Q1,X,28187.8,8414.7,19773.1
stock,2014-Q1,H,457303.4,165552.2,291751.2
stock,2014-Q1,C,604927.7,1185943.6,-581015.9
stock,2014-Q1,F,501664.4,464407.3,37257.1
stock,2014-Q1,G,228690.3,365887.4,-137197.1
stock,2014-Q1,BNR,135469.9,154251.1,-18781.2
stock,2014-Q1,X,642788.0,234802.2,407985.8
stock,2014-Q2,H,457910.7,163699.8,294210.9
stock,2014-Q2,C,603626.3,1183564.7,-579938.4
stock,2014-Q2,F,503330.8,468021.5,35309.3
stock,2014-Q2,G,232980.8,373195.2,-140214.4
stock,2014-Q2,BNR,126561.3,148727.7,-22166.4
stock,2014-Q2,X,641310.0,228510.9,412799.1
stock,2014-Q3,H,457889.6,163402.8,294486.8
stock,2014-Q3,C,608003.0,1182280.6,-574277.6
stock,2014-Q3,F,499162.8,469306.1,29856.7
stock,2014-Q3,G,237407.6,372505.5,-135097.9
stock,2014-Q3,BNR,139397.4,150788.4,-11391.0
stock,2014-Q3,X,641016.8,244594.4,396422.4
stock,2014-Q4,H,493495.0,161483.9,332011.1
stock,2014-Q4,C,631478.5,1227133.2,-595654.7
stock,2014-Q4,F,512509.2,485055.9,27453.3
stock,2014-Q4,G,236718.2,379362.2,-142644.0
stock,2014-Q4,BNR,145115.7,154712.8,-9597.1
stock,2014-Q4,X,647401.2,258970.2,388431.0
stock,2015-Q1,H,492429.0,162959.3,329469.7
stock,2015-Q1,C,627201.2,1226750.2,-599549.0
stock,2015-Q1,F,512390.4,480242.4,32148.0
stock,2015-Q1,G,247480.7,385382.0,-137901.3
stock,2015-Q1,BNR,137983.2,150214.3,-12231.1
stock,2015-Q1,X,646370.8,258307.1,388063.7
stock,2015-Q2,H,498265.0,163496.1,334768.9
stock,2015-Q2,C,624817.8,1233975.2,-609157.4
stock,2015-Q2,F,518182.9,486396.0,31786.9
stock,2015-Q2,G,242440.6,376595.5,-134154.9
stock,2015-Q2,BNR,136875.6,157143.8,-20268.2
stock,2015-Q2,X,649712.8,252688.0,397024.8
stock,2015-Q3,H,504194.5,161909.4,342285.1
stock,2015-Q3,C,626360.2,1228462.4,-602102.2
stock,2015-Q3,F,514924.0,483020.5,31903.5
stock,2015-Q3,G,244346.4,382080.0,-137733.6
stock,2015-Q3,BNR,130650.4,148541.6,-17891.2
stock,2015-Q3,X,635855.4,252317.3,383538.1
stock,2015-Q4,H,517051.9,151309.6,365742.3
stock,2015-Q4,C,598863.3,1235634.8,-636771.5
stock,2015-Q4,F,536428.5,508296.8,28131.7
stock,2015-Q4,G,244361.4,390191.4,-145830.0
stock,2015-Q4,BNR,146595.2,157417.0,-10821.8
stock,2015-Q4,X,659114.3,259564.7,399549.6
stock,2016-Q1,H,521264.8,151433.8,369831.0
stock,2016-Q1,C,586472.6,1220926.7,-634454.1
stock,2016-Q1,F,531593.9,500709.1,30884.8
stock,2016-Q1,G,250782.4,403931.7,-153149.3
stock,2016-Q1,BNR,141422.5,154078.9,-12656.4
stock,2016-Q1,X,655729.7,256185.3,399544.4
stock,2016-Q2,H,529092.8,154168.5,374924.3
stock,2016-Q2,C,589524.5,1227678.3,-638153.8
stock,2016-Q2,F,541679.6,512892.6,28787.0
stock,2016-Q2,G,251682.7,405530.4,-153847.7
stock,2016-Q2,BNR,139838.8,158185.1,-18346.3
stock,2016-Q2,X,663217.8,256581.5,406636.3
stock,2016-Q3,H,530189.3,153150.7,377038.6
stock,2016-Q3,C,610658.7,1247701.9,-637043.2
stock,2016-Q3,F,546028.7,520439.7,25589.0
stock,2016-Q3,G,256572.5,418123.0,-161550.5
stock,2016-Q3,BNR,145096.6,165116.7,-20020.1
stock,2016-Q3,X,680615.5,264629.5,415986.0
stock,2016-Q4,H,556887.0,174204.1,382682.9
stock,2016-Q4,C,662466.4,1296080.8,-633614.4
stock,2016-Q4,F,561195.1,536736.4,24458.7
stock,2016-Q4,G,263460.7,426886.8,-163426.1
stock,2016-Q4,BNR,155186.4,173611.8,-18425.4
stock,2016-Q4,X,689030.0,280705.6,408324.4
stock,2017-Q1,H,570527.9,176829.5,393698.4
stock,2017-Q1,C,678811.0,1330914.5,-652103.5
stock,2017-Q1,F,566205.4,544596.8,21608.6
stock,2017-Q1,G,276803.2,442533.7,-165730.5
stock,2017-Q1,BNR,155009.6,174212.5,-19202.9
stock,2017-Q1,X,701631.6,279901.9,421729.7
stock,2017-Q2,H,578083.6,178386.3,399697.3
stock,2017-Q2,C,683873.9,1336529.5,-652655.6
stock,2017-Q2,F,573235.7,554672.1,18563.6
stock,2017-Q2,G,278670.9,457008.0,-178337.1
stock,2017-Q2,BNR,158009.9,176066.6,-18056.7
stock,2017-Q2,X,716805.7,286017.2,430788.5
stock,2017-Q3,H,586879.0,182707.6,404171.4
stock,2017-Q3,C,686512.9,1345999.6,-659486.7
